Test Case ID,Module,Step Name / Page Name,Field / Feature Name,Test Scenario,Test Data,Expected Result,Actual Result,Status,Test Type,Screenshot
TC-NAV-007,Navigation,Global Navbar,Notification Bell,Notification bell icon visible on desktop,viewport: 1280x800,Notification bell visible,Notification bell button NOT found in navbar,Fail,UI,TC-NAV-007_no_bell.png
TC-NAV-008,Navigation,Global Navbar,Mobile Drawer Navigation,Mobile drawer nav to Marketplace,viewport: 375x667,Navigates to /marketplace; drawer closes,"Error: elementHandle.click: Timeout 15000ms exceeded.
Call log:
[2m  - attempting click action[22m
[2m    2 × waiting for element to be visible, enabled and stable[22m
[2m      - element is not visible[22m
[2m    - retrying click action[22m
[2m    - waiting 20ms[22m
[2m    2 × waiting for element to be visible, enabled and stable[22m
[2m      - element is not visible[22m
[2m    - retrying click action[22m
[2m      - waiting 100ms[22m
[2m    27 × waiting for element to be visible, enabled and stable[22m
[2m       - element is not visible[22m
[2m     - retrying click action[22m
[2m       - waiting 500ms[22m",Fail,Navigation,
TC-NAV-009,Navigation,Global Navbar,Desktop Search Bar,Search bar visible on desktop navbar,viewport: 1280x800,Search bar visible in navbar,Desktop search bar found in navbar,Pass,UI,
TC-NAV-010,Navigation,Global Navbar,Mobile Drawer Language Selector,Language can be changed from mobile drawer,viewport: 375x667,Language options visible in drawer,"Error: elementHandle.click: Timeout 15000ms exceeded.
Call log:
[2m  - attempting click action[22m
[2m    2 × waiting for element to be visible, enabled and stable[22m
[2m      - element is not visible[22m
[2m    - retrying click action[22m
[2m    - waiting 20ms[22m
[2m    2 × waiting for element to be visible, enabled and stable[22m
[2m      - element is not visible[22m
[2m    - retrying click action[22m
[2m      - waiting 100ms[22m
[2m    27 × waiting for element to be visible, enabled and stable[22m
[2m       - element is not visible[22m
[2m     - retrying click action[22m
[2m       - waiting 500ms[22m",Fail,Functional,
TC-NAV-011,Navigation,Global Navbar,Cmd+K Chip in Desktop Search,Cmd+K shortcut chip visible in search bar,viewport: 1280x800,Cmd + K chip visible,Cmd/Ctrl shortcut chip found in page,Pass,UI,
TC-NAV-012,Navigation,Global Navbar,Sign In Button Redirect,Sign In button navigates to /login,Unauthenticated,Redirected to /login,Stayed on http://localhost:3000/,Fail,Navigation,TC-NAV-012_no_nav.png
TC-NAV-013,Navigation,Global Navbar,Sign Up Button Redirect,Sign Up button navigates to /signup,Unauthenticated,Redirected to /signup,"Error: elementHandle.click: Element is not attached to the DOM
Call log:
[2m  - attempting click action[22m
[2m    - waiting for element to be visible, enabled and stable[22m",Fail,Navigation,
TC-NAV-014,Navigation,Global Navbar,Navbar Backdrop Blur,Navbar has glassmorphism blur effect,N/A,backdropFilter: blur applied,"backdropFilter=""blur(20px)"" confirmed",Pass,UI,
TC-NAV-015,Navigation,Global Navbar,Navbar Sticky Positioning,Navbar stays visible while scrolling,Scrolled 600px on /marketplace,Navbar visible at top after scroll,Navbar top=14px after scroll — sticky confirmed,Pass,UI,
TC-MARKET-001,Marketplace,Marketplace Page,Page Load,Marketplace renders with model grid and sidebar,N/A,"Title, search, cards visible","Marketplace page loaded with title, search bar, and model cards",Pass,Functional,
TC-MARKET-002,Marketplace,Marketplace Page,Search Models,Search filters model cards by name/lab,query: GPT,Cards filtered to GPT matches,"Search with ""GPT"" returned 40 cards (before: 40); GPT text found: true",Pass,Functional,
TC-MARKET-004,Marketplace,Marketplace Page,Category Chip - All,"""All"" chip resets category filter",Vision chip selected then All chip,All models shown after All click,Vision category chip not found on page,Blocked,Functional,
TC-MARKET-005,Marketplace,Marketplace Page,Provider Sidebar Checkbox,Provider checkbox filters by OpenAI,provider: OpenAI,Only OpenAI models shown,OpenAI filter applied; OpenAI content found in page,Pass,Functional,
TC-MARKET-006,Marketplace,Marketplace Page,Provider Strip Toggle,Provider strip pill toggles Anthropic filter,provider: Anthropic,Anthropic models shown; pill highlighted,Anthropic provider strip clicked; Anthropic/Claude content visible,Pass,Functional,
TC-MARKET-007,Marketplace,Marketplace Page,Pricing Model Radio Filter,Free pricing radio filters models,pricingModel: Free,Only free models shown,Free pricing filter applied; 40 cards shown,Pass,Functional,
TC-MARKET-010,Marketplace,Marketplace Page,Pagination Next Button,Clicking Next loads next page of models,N/A,Next page shown,Next button found and clicked; page updated,Pass,Functional,
TC-MARKET-011,Marketplace,Marketplace Page,Pagination Previous Button,Previous button disabled on page 1,page 1,Prev button disabled,Previous button is correctly disabled on page 1,Pass,UI,
TC-MARKET-013,Marketplace,Marketplace Page,No Results State,Impossible filter shows empty grid,query: zzzxxx_no_results_999,Empty grid; no crash,Empty state shown correctly; 0 cards rendered,Pass,Edge Case,
TC-MARKET-014,Marketplace,Marketplace Page,Model Card Badge Display,Badge chips render on model cards,N/A,Badge chips visible,Badge labels (hot/new/pro/beta/free) found on model cards,Pass,UI,
TC-MARKET-015,Marketplace,Marketplace Page,Star Rating on Cards,Star rating renders on each model card,N/A,Star icons with rating visible,Star rating components or numeric ratings found on cards,Pass,UI,
TC-MARKET-016,Marketplace,Marketplace Page,How to Use Link,"""How to Use"" on card navigates to chat",N/A,Navigated to /chat?model=...,How to Use link/button not found on marketplace,Blocked,Navigation,
TC-MARKET-018,Marketplace,Marketplace Page,SQL Injection in Search,SQL injection in search is safely handled,' OR 1=1 --,No SQL error; no crash,SQL injection string treated as plain text; no crash or error,Pass,Security,
TC-MARKET-019,Marketplace,Marketplace Page,XSS in Search Field,XSS payload in search safely handled,<script>alert(1)</script>,No script executes,XSS not triggered; input treated as plain text,Pass,Security,
TC-MARKET-020,Marketplace,Marketplace Page,Sticky Sidebar on Desktop,Sidebar remains sticky while scrolling,viewport: 1280px; scrolled,Sidebar position: sticky,"Sidebar position=""not found"" — not sticky",Fail,UI,TC-MARKET-020_not_sticky.png
TC-MARKET-022,Marketplace,Marketplace Page,Mobile Responsive Layout,Marketplace usable on 375px mobile,viewport: 375px,No horizontal scroll; search visible,noHorizScroll=true searchVisible=false,Fail,UI,TC-MARKET-022_mobile_fail.png
TC-CHAT-001,Chat,Chat Page,Page Load with Suspense,Chat page loads using Suspense boundary,N/A,ChatPageClient renders; no crash,loaded=false hasInput=true,Fail,Functional,TC-CHAT-001_load_fail.png
TC-CHAT-002,Chat,Chat Page,Model Selection Panel,Left panel shows list of AI models,N/A,Model selector panel visible,Model names found in page; model selection panel present,Pass,Functional,
TC-CHAT-003,Chat,Chat Page,Send Message,User can send a text message,message: Hello can you help me?,Message in chat thread,Message sent and appeared in chat thread,Pass,Functional,
TC-CHAT-004,Chat,Chat Page,Empty Message Submit,Submitting empty message does not send,(empty),Send button disabled or no message sent,Send btn disabled=false; messages in thread: 0,Pass,Negative,
TC-CHAT-005,Chat,Chat Page,Guest Session Banner,Guest banner shown for unauthenticated users,Unauthenticated,Guest banner with sign-in prompt,Guest session banner / sign-in prompt found on chat page,Pass,Functional,
TC-CHAT-006,Chat,Chat Page,Guest Session Expiry,Guest session expires after 3 hours,GUEST_SESSION_DURATION_MS=10800000,Session cleared after 3h,Cannot simulate 3-hour time passage in automated test; requires mock timer or manual testing,Blocked,Edge Case,
TC-CHAT-007,Chat,Chat Page,New Session Creation,Creating new session adds to list,N/A,New session appears in list,"Error: elementHandle.click: Element is not attached to the DOM
Call log:
[2m  - attempting click action[22m
[2m    - waiting for element to be visible, enabled and stable[22m
[2m    - element is not stable[22m
[2m  - retrying click action[22m
[2m    - waiting for element to be visible, enabled and stable[22m",Fail,Functional,
TC-CHAT-009,Chat,Chat Page,Agent Mode URL Parameter,Chat opens with pre-selected agent via URL param,URL: /chat?agent=agent-1&model=gpt-4,Agent name and model pre-selected,Agent/model from URL param reflected in chat UI,Pass,Functional,
TC-CHAT-010,Chat,Chat Page,Prompt URL Parameter,Chat pre-fills prompt from URL param,URL: /chat?prompt=Hello%20World,Input pre-filled with Hello World,"Input value was: """" — not pre-filled",Fail,Functional,TC-CHAT-010_no_prefill.png
TC-CHAT-013,Chat,Chat Page,XSS in Chat Message,XSS payload in chat message is safely handled,<script>alert('xss')</script>,No script executes; message shown as text,XSS not triggered; chat message safely displayed,Pass,Security,
TC-CHAT-014,Chat,Chat Page,File Attachment,File attachment icon present and clickable,N/A,File picker or attachment mode activated,File attachment button/input found in chat input area,Pass,Functional,
TC-CHAT-015,Chat,Chat Page,Bottom Suggestion Chips,Suggestion chips rendered below input,N/A,Suggestion chips visible and clickable,Suggestion chips found; 16 chip elements in DOM,Pass,UI,
