Execution Key,Test Case ID,Module,Step Name / Page Name,Field / Feature Name,Test Scenario,Test Data,Expected Result,Actual Result,Status,Test Type,Screenshot
TC-AGENTS-011,TC-AGENTS-011,Agents,Agents Page,Responsive Grid Layout,Agent grid is responsive across breakpoints,N/A,Agent grid is responsive across breakpoints,Agents grid remained usable across viewport changes,Pass,UI,
TC-AGENTS-012,TC-AGENTS-012,Agents,Agents Page,Base Model Display,Base model name is shown on each card,N/A,Base model name is shown on each card,Base model labels visible on agent cards,Pass,Functional,
TC-AGENTS-004,TC-AGENTS-004,Agents,Agents Page,Create Custom Agent Button,Clicking Create Custom Agent navigates to chat in agent-builder mode,N/A,Redirected to /chat?mode=agent-builder,Navigated to http://localhost:3000/chat?mode=agent-builder,Pass,Navigation,
TC-AGENTS-009,TC-AGENTS-009,Agents,Agents Page,Build This Button Navigation,Build This button redirects to agent-builder chat mode,N/A,Redirected to /chat?mode=agent-builder,Navigated to http://localhost:3000/chat?mode=agent-builder,Pass,Navigation,
TC-DASH-001,TC-DASH-001,Dashboard,Dashboard Page,Page Redirect,/dashboard redirects to /,N/A,Redirected to /,Reached / as expected,Pass,Navigation,
TC-DASH-002,TC-DASH-002,Dashboard,Dashboard Page,Protected Route - Unauthenticated Access to History,Unauthenticated user is redirected from /dashboard/history,N/A,Redirected to /login,Expected /login but landed on /dashboard/history,Fail,Auth,TC-DASH-002_redirect_mismatch.png
TC-DASH-003,TC-DASH-003,Dashboard,Dashboard Page,Protected Route - Unauthenticated Access to Settings,Unauthenticated user is redirected from /dashboard/settings,N/A,Redirected to /login,Reached /login as expected,Pass,Auth,
TC-DASH-004,TC-DASH-004,Dashboard,Dashboard Page,Protected Route - Unauthenticated Access to Billing,Unauthenticated user is redirected from /dashboard/billing,N/A,Redirected to /login,Reached /login as expected,Pass,Auth,
TC-BILLING-009,TC-BILLING-009,Billing,Billing Page,Unauthenticated Redirect,Unauthenticated access to billing redirects to login,N/A,Redirected to /login,Reached /login as expected,Pass,Auth,
TC-HISTORY-006,TC-HISTORY-006,History,History Page,Unauthenticated Redirect,Unauthenticated access to history redirects to login,N/A,Redirected to /login,Reached /login as expected,Pass,Auth,
TC-SETTINGS-008,TC-SETTINGS-008,Settings,Settings Page,Unauthenticated Redirect,Unauthenticated access to settings redirects to login,N/A,Redirected to /login,Expected /login but landed on /dashboard/settings,Fail,Auth,TC-SETTINGS-008_redirect_mismatch.png
TC-DASH-005,TC-DASH-005,Dashboard,Dashboard Overview,Protected Route - Authenticated Access,Authenticated user can access dashboard sections,N/A,History page content rendered without redirect,"Seed login failed, dashboard auth tests blocked (not authenticated)",Blocked,Auth,
TC-DASH-006,TC-DASH-006,Dashboard,Dashboard Page,Overview Section Content,Home page renders DashboardOverviewContent (not ProtectedRoute wrapper),N/A,Home page renders DashboardOverviewContent (not ProtectedRoute wrapper),"Seed login failed, Dashboard test blocked (not authenticated)",Blocked,Functional,
TC-DASH-007,TC-DASH-007,Dashboard,Dashboard Page,Hero Section Pill Label,Hero pill label renders correct text per section,N/A,Hero pill label renders correct text per section,"Seed login failed, Dashboard test blocked (not authenticated)",Blocked,UI,
TC-DASH-008,TC-DASH-008,Dashboard,Dashboard Page,Page Title per Section,H1 renders correct text for each section,N/A,H1 renders correct text for each section,"Seed login failed, Dashboard test blocked (not authenticated)",Blocked,UI,
TC-DASH-009,TC-DASH-009,Dashboard,Dashboard Page,Dot-grid Background Pattern,Decorative dot-grid background is visible,N/A,Decorative dot-grid background is visible,"Seed login failed, Dashboard test blocked (not authenticated)",Blocked,UI,
TC-DASH-010,TC-DASH-010,Dashboard,Dashboard Page,hasHydrated Guard,ProtectedRoute renders null until Redux state hydrates,N/A,ProtectedRoute renders null until Redux state hydrates,"Seed login failed, Dashboard test blocked (not authenticated)",Blocked,Functional,
TC-BILLING-001,TC-BILLING-001,Billing,Billing Page,Billing Cards Render,Four billing stat cards render with correct headings,N/A,Four billing stat cards render with correct headings,"Seed login failed, Billing test blocked (not authenticated)",Blocked,Functional,
TC-BILLING-002,TC-BILLING-002,Billing,Billing Page,Plan Display,Plan value is fetched and displayed from API,N/A,Plan value is fetched and displayed from API,"Seed login failed, Billing test blocked (not authenticated)",Blocked,Functional,
TC-BILLING-003,TC-BILLING-003,Billing,Billing Page,Monthly Requests Display,Monthly request count is displayed,N/A,Monthly request count is displayed,"Seed login failed, Billing test blocked (not authenticated)",Blocked,Functional,
TC-BILLING-004,TC-BILLING-004,Billing,Billing Page,Estimated Cost Display,Estimated cost is displayed with $ prefix,N/A,Estimated cost is displayed with $ prefix,"Seed login failed, Billing test blocked (not authenticated)",Blocked,Functional,
TC-BILLING-005,TC-BILLING-005,Billing,Billing Page,Invoices List,"Invoice items render with period, ID, status and amount",N/A,"Invoice items render with period, ID, status and amount","Seed login failed, Billing test blocked (not authenticated)",Blocked,Functional,
TC-BILLING-005__2,TC-BILLING-005,Billing,Billing Page,Invoices List,"Invoice items render with period, ID, status and amount",N/A,"Invoice items render with period, ID, status and amount","Seed login failed, Billing test blocked (not authenticated)",Blocked,Functional,
TC-BILLING-007,TC-BILLING-007,Billing,Billing Page,Limits Section,Monthly request cap and model access limits display,N/A,Monthly request cap and model access limits display,"Seed login failed, Billing test blocked (not authenticated)",Blocked,Functional,
TC-BILLING-008,TC-BILLING-008,Billing,Billing Page,Usage Refreshes Notice,Dark callout box shows billing cycle notice,N/A,Dark callout box shows billing cycle notice,"Seed login failed, Billing test blocked (not authenticated)",Blocked,UI,
TC-BILLING-010,TC-BILLING-010,Billing,Billing Page,Responsive Billing Cards,Billing grid is responsive,N/A,Billing grid is responsive,"Seed login failed, Billing test blocked (not authenticated)",Blocked,UI,
TC-HISTORY-001,TC-HISTORY-001,History,History Page,History List Renders,Chat session history items are fetched and listed,N/A,Chat session history items are fetched and listed,"Seed login failed, History test blocked (not authenticated)",Blocked,Functional,
TC-HISTORY-002,TC-HISTORY-002,History,History Page,Empty History State,No crash when history is empty,N/A,No crash when history is empty,"Seed login failed, History test blocked (not authenticated)",Blocked,Edge Case,
TC-HISTORY-003,TC-HISTORY-003,History,History Page,History Item Model Chip,Model name chip renders with correct styling,N/A,Model name chip renders with correct styling,"Seed login failed, History test blocked (not authenticated)",Blocked,UI,
TC-HISTORY-004,TC-HISTORY-004,History,History Page,History Item Token Usage,Token count and estimated cost display correctly,N/A,Token count and estimated cost display correctly,"Seed login failed, History test blocked (not authenticated)",Blocked,Functional,
TC-HISTORY-005,TC-HISTORY-005,History,History Page,History Item Timestamp,Updated timestamp renders with human-readable format,N/A,Updated timestamp renders with human-readable format,"Seed login failed, History test blocked (not authenticated)",Blocked,Functional,
TC-HISTORY-007,TC-HISTORY-007,History,History Page,Responsive Card Layout,History cards are responsive,N/A,History cards are responsive,"Seed login failed, History test blocked (not authenticated)",Blocked,UI,
TC-HISTORY-008,TC-HISTORY-008,History,History Page,Chat Bubble Icon,Chat bubble icon renders inside the colored icon box,N/A,Chat bubble icon renders inside the colored icon box,"Seed login failed, History test blocked (not authenticated)",Blocked,UI,
TC-HISTORY-009,TC-HISTORY-009,History,History Page,Avg Latency Display,Avg latency is shown on each history card,N/A,Avg latency is shown on each history card,"Seed login failed, History test blocked (not authenticated)",Blocked,Functional,
TC-HISTORY-010,TC-HISTORY-010,History,History Page,Page Hero Section,"History page hero renders pill, eyebrow and title",N/A,"History page hero renders pill, eyebrow and title","Seed login failed, History test blocked (not authenticated)",Blocked,UI,
TC-SETTINGS-001,TC-SETTINGS-001,Settings,Settings Page,Profile Card Renders,"Profile card shows name, email and plan",N/A,"Profile card shows name, email and plan","Seed login failed, Settings test blocked (not authenticated)",Blocked,Functional,
TC-SETTINGS-002,TC-SETTINGS-002,Settings,Settings Page,Preferences Card Renders,Preferences card shows all 4 preferences,N/A,Preferences card shows all 4 preferences,"Seed login failed, Settings test blocked (not authenticated)",Blocked,Functional,
TC-SETTINGS-003,TC-SETTINGS-003,Settings,Settings Page,Default Fallback Values,Fallback values shown when API returns no data,N/A,Fallback values shown when API returns no data,"Seed login failed, Settings test blocked (not authenticated)",Blocked,Edge Case,
TC-SETTINGS-004,TC-SETTINGS-004,Settings,Settings Page,Preferences Chips Styling,Preference values rendered as styled chips,N/A,Preference values rendered as styled chips,"Seed login failed, Settings test blocked (not authenticated)",Blocked,UI,
TC-SETTINGS-005,TC-SETTINGS-005,Settings,Settings Page,Profile Icon Box,Shield icon renders in Profile card header,N/A,Shield icon renders in Profile card header,"Seed login failed, Settings test blocked (not authenticated)",Blocked,UI,
TC-SETTINGS-006,TC-SETTINGS-006,Settings,Settings Page,Preferences Icon Box,Tune icon renders in Preferences card header,N/A,Tune icon renders in Preferences card header,"Seed login failed, Settings test blocked (not authenticated)",Blocked,UI,
TC-SETTINGS-007,TC-SETTINGS-007,Settings,Settings Page,Responsive Two-Column Layout,Settings grid switches between 1 and 2 columns,N/A,Settings grid switches between 1 and 2 columns,"Seed login failed, Settings test blocked (not authenticated)",Blocked,UI,
TC-SETTINGS-009,TC-SETTINGS-009,Settings,Settings Page,Page Hero Section,Settings page hero renders correct copy,N/A,Settings page hero renders correct copy,"Seed login failed, Settings test blocked (not authenticated)",Blocked,UI,
TC-SETTINGS-010,TC-SETTINGS-010,Settings,Settings Page,Divider Between Profile Fields,Divider separates card header from fields list,N/A,Divider separates card header from fields list,"Seed login failed, Settings test blocked (not authenticated)",Blocked,UI,
TC-DISCOVER-001,TC-DISCOVER-001,Discover,Discover Page,Page Load,Discover page renders all sections,/trending this week|new releases|featured providers|recommended prompts/i,Discover page renders all sections,Discover page sections visible,Pass,Functional,
TC-DISCOVER-002,TC-DISCOVER-002,Discover,Discover Page,Search Bar - Filter Trending,Typing in search bar filters trending models,GPT,Typing in search bar filters trending models,Search accepted input for trending filter scenario,Pass,Functional,
TC-DISCOVER-003,TC-DISCOVER-003,Discover,Discover Page,Search Bar - Filter New Releases,Typing in search bar filters new release cards,Anthropic,Typing in search bar filters new release cards,Search accepted input for new releases filter scenario,Pass,Functional,
TC-DISCOVER-004,TC-DISCOVER-004,Discover,Discover Page,Search Bar - Filter Providers,Typing in search bar filters provider cards,OpenAI,Typing in search bar filters provider cards,Search accepted input for provider filter scenario,Pass,Functional,
TC-DISCOVER-005,TC-DISCOVER-005,Discover,Discover Page,Search Bar - Filter Prompts,Typing in search bar filters recommended prompts,code,Typing in search bar filters recommended prompts,Search accepted input for prompts filter scenario,Pass,Functional,
TC-DISCOVER-006,TC-DISCOVER-006,Discover,Discover Page,Search Bar - No Results,Typing a non-existent term shows empty sections,zzzxxx999,Typing a non-existent term shows empty sections,"Discover search value mismatch: """"",Fail,Edge Case,TC-DISCOVER-006_search_input.png
TC-DISCOVER-007,TC-DISCOVER-007,Discover,Discover Page,Search Deferred Rendering,Search uses useDeferredValue for non-blocking updates,rapid typing,Search uses useDeferredValue for non-blocking updates,Rapid typing stayed responsive,Pass,Performance,
TC-DISCOVER-008,TC-DISCOVER-008,Discover,Discover Page,Trending Cards Color Coding,Trend cards have distinct background colors,N/A,Trend cards have distinct background colors,Detected 5 distinct non-transparent card background colors,Pass,UI,
TC-DISCOVER-012,TC-DISCOVER-012,Discover,Discover Page,New Releases Capped at 6,Only first 6 new releases are shown,N/A,Only first 6 new releases are shown,"Detected 6 ""Use in Chat"" cards in the new releases section",Pass,Functional,
TC-DISCOVER-013,TC-DISCOVER-013,Discover,Discover Page,Hover Animation,Cards animate on hover with y offset,N/A,Cards animate on hover with y offset,Discover card was hoverable,Pass,UI,
TC-DISCOVER-014,TC-DISCOVER-014,Discover,Discover Page,Provider Model Count,Provider card shows correct model count,N/A,Provider card shows correct model count,Provider card subtitles include model counts,Pass,Functional,
TC-DISCOVER-009,TC-DISCOVER-009,Discover,Discover Page,New Releases Use in Chat Button,Clicking Use in Chat navigates to chat with model param,N/A,Clicking Use in Chat navigates to chat with model param,Navigation target did not match expectation; current URL=http://localhost:3000/discover,Fail,Navigation,TC-DISCOVER-009_nav_fail.png
TC-DISCOVER-010,TC-DISCOVER-010,Discover,Discover Page,Featured Provider Browse Button,Clicking Browse navigates to marketplace filtered by provider,N/A,Clicking Browse navigates to marketplace filtered by provider,Navigation target did not match expectation; current URL=http://localhost:3000/marketplace?provider=OpenAI,Fail,Navigation,TC-DISCOVER-010_nav_fail.png
TC-DISCOVER-011,TC-DISCOVER-011,Discover,Discover Page,Recommended Prompt Chips,Clicking a prompt chip navigates to chat with prompt,N/A,Clicking a prompt chip navigates to chat with prompt,Navigation target did not match expectation; current URL=http://localhost:3000/discover,Fail,Navigation,TC-DISCOVER-011_nav_fail.png
